项目,内容
项目名称,小葵瓜幸存者 (Little KuiGua Survivors)
项目类型,类吸血鬼幸存者风格的弹幕射击 + Roguelike 游戏
核心特色,技能编辑系统 - 玩家可自由组合主动技能与被动技能，被动技能会修改紧随其后的主动技能效果，打造独特的技能链
技术栈,HTML5 Canvas + CSS3 + 原生JavaScript (ES6+)，无任何框架依赖
目标平台,PC浏览器 + 移动端浏览器
帧率,60 FPS
演示链接,https://18668612396.github.io/NineToFive/Source/
,,
【功能简介】,
核心玩法,控制可爱的猫咪角色在僵尸潮中生存，通过技能编辑系统自由搭配技能组合，构建独特流派
技能编辑玩法,法杖拥有多个技能槽位，玩家将主动技能和被动技能拖入槽位，被动技能会影响其后的主动技能（如：散射+火球=三发火球）
操作方式,WASD/方向键移动，自动攻击最近敌人，ESC打开背包进行技能编辑
移动端支持,虚拟摇杆操控，响应式UI布局，触摸拖拽技能编辑
,,
【实现亮点】,
技能编辑系统,法杖槽位可自由放置技能，被动技能修改后续主动技能的属性（伤害、速度、穿透、追踪、分裂等）
技能升星合成,3个同星级技能合成1个高星级技能，效果倍增（1星→2星×1.5→3星×2.5）
武器词条系统,30+种武器词条，分为固定词条和随机词条，随机生成丰富Build
特殊槽触发,法杖特殊槽位在满足条件时自动触发（能量消耗/击杀数/定时/受伤/命中次数）
Boss战斗系统,4种Boss（樱花树妖、熔岩巨人、深渊之眼、冰霜女王），各有独特技能和战斗模式
天赋树系统,4条分支（攻击/防御/辅助/财富），持久化角色成长，无限升级精通节点
,,
【天赋树系统】,
攻击分支,攻击强化I（伤害+5%×5）→ 攻击强化II（伤害+5%×5）→ 暴击强化（暴击+2%×5）→ 穿透强化（穿透+1×5）→ 暴击伤害（暴伤+10%×5）→ 攻击范围（范围+5%×5）→ 技能槽位I → 攻击精通（伤害+2%∞）
防御分支,生命强化I（生命+5%×5）→ 生命强化II（生命+5%×5）→ 生命恢复（回复0.5/s×5）→ 护甲强化（减伤+3%×5）→ 闪避强化（闪避+2%×5）→ 荆棘反伤（反伤+5%×5）→ 技能槽位II → 生命精通（生命+2%∞）
